Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée;
0057-B-2361-1615;;57;57;2307;Gavrinis;9;true;true;359
0057-B-2361-1615;;57;57;1023;La Criée;30;true;true;42
0041-B-1663-2127;;41;41ex;1481;Pâtis Tatelin;8;true;true;118
0806-A-1214-1418;;806;E4;1418;Géniaux;8;true;true;123
0057-B-2361-1615;;57;57;2237;Aire Libre;18;true;true;292
0057-B-2361-1615-2314;;57;57;2353;Victor Hugo;2;true;true;299
0044-A-1738-1556;;44;44;1556;République;13;true;true;163
0806-A-1235-3801;;806;E4;1242;République;2;true;true;182
0057-B-2361-1615;;57;57;1615;République;31;true;true;462
0057-B-2361-1615-2314;;57;57;2303;Haut Launay;6;true;true;202
0044-B-1550-1737;;44;44;1152;Docteur Quentin;9;true;true;103
0806-A-1235-3801;;806;E4;1122;Gare Sud Féval;5;true;true;309
0057-B-2361-1615-2314;;57;57;2308;Croix Madame;11;true;true;43
0057-B-2361-1615-2314;;57;57;2304;Rabine;7;true;true;418
0050-A-3301-1563;;50;50;3315;Thorigné Mairie;3;true;true;421
0806-A-1235-3801;;806;E4;1123;Ginguené;6;true;true;78
0057-B-2361-1615-2314;;57;57;2312;Etangs;14;true;true;330
0057-B-2361-1615-2314;;57;57;2376;Corbières;10;true;true;273
0050-A-3301-1563;;50;50;3305;Bocage;5;true;true;355
0806-A-1235-3801;;806;E4;1124;Jacques Cartier;7;true;true;48
0057-B-2361-1615-2314;;57;57;1276;Foyer Rennais;27;true;true;341
0057-B-2361-1615-2314;;57;57;2311;Coeur de Campus;13;true;true;270
0050-A-3301-1563;;50;50;3309;Portail;8;true;true;39
0806-A-1235-3801;;806;E4;1128;Champs Manceaux;11;true;true;53
0057-B-2361-1615-2314;;57;57;1277;Pont de Nantes;28;true;true;174
0057-B-2361-1615-2314;;57;57;2314;Porte de Ker-Lann;16;true;true;373
0050-A-3301-1563;;50;50;2071;Calendrou;10;true;true;251
